,m,tau_1,tau_2,l_1,l_2,mu_1,mu_2,llhood,ideal_ll
36,36,0.32117734242975443,0.4929179218482798,0.07628918426500092,0.37100350719911557,0.2509154617686771,-1.3428714589772626,-71.43220052707854,-20.789412
37,37,0.30313334801197556,0.7318381937873916,0.07409746264607787,0.19535047794374838,0.1648308549779766,-1.4258046106097833,-83.07957623224904,-30.737316
38,38,0.2987259424187832,1.246748164708983,0.07559715821220978,0.2085908644318973,-0.18481101013152956,-1.3218630155281765,-83.80158942695739,-39.899376
39,39,0.26118751923835176,0.7043525258103145,0.07160730943246986,0.21858090780445932,0.12488918517937107,-1.408896298111879,-86.50131204475015,-33.77234
40,40,0.3002367160582224,0.899915840492427,0.07616255364440364,0.21696605478165898,-0.11210412464893156,-1.4984843030766426,-63.24367458793971,-26.99571
41,41,0.33163000358777606,0.5653222102903646,0.07825065839135321,0.21932450197811182,0.14687055299025065,-1.2484896855464918,-85.36204661055424,-29.26331
42,42,0.2950752980688498,0.7603025592865125,0.07124972831917231,0.21462416220181477,0.14708552052831844,-1.5382793794819098,-79.18020692119038,-21.749147
43,43,0.45736822703107116,0.7207701568401612,0.09131835995899755,0.1615308431851459,-0.10234126804406066,-1.3682521776969558,-72.35404544008072,-28.727955
44,44,0.32400119860889376,0.694991175178598,0.07889039803191936,0.23088725164150112,-0.19467191255014246,-1.355505843702058,-67.53381539521037,-26.111784
45,45,0.2946943004809353,0.7312680059197547,0.07157928430241872,0.24328890874037534,0.1839730567488067,-1.2881669862053098,-73.86510696862047,-28.906195
46,46,0.49972263003114864,0.31944314109377053,0.0907131498459463,0.18904785031112098,-0.1287553721522971,-1.3295243680038145,-89.1892992355295,-37.45281
47,47,0.28492423359460084,0.5203213023853429,0.0703410428977936,0.23150766261482392,0.10991273731397676,-1.4238312911760655,-77.28334329283342,-24.374977
48,48,0.2693277494007861,1.1765935179646363,0.07389558335329321,0.2566287174930945,0.10375805965503812,-1.3649512606200935,-73.42440063306509,-22.387623
49,49,0.28306600129879644,0.44401813399422263,0.06459289524299076,0.23251235799005252,0.17781548208900572,-1.1303506408377115,-98.40081698477184,-36.307262
