,l_f,tau,l_g,g,mu,ll,standardisation_mean,standardisation_std,m,ideal_ll,ISE_f,ISE_eps
11,0.12166870772439405,2.062326421125141,0.21265841520225592,1e-06,0.06407899643228103,-26.028350781577554,-0.18971803227688222,1.0870147759040436,11,-26.79977,6.930099808421981,7.811915172988428
12,0.1425020399226631,3.795379289519094,0.1550601860253228,1e-06,0.05411115013641103,-20.859580942170552,-0.1403510815643534,1.105687755393507,12,-32.781734,19.30903522332351,5.52678728905042
13,0.12948513503762002,2.15662912404761,0.2822015633184438,1e-06,-0.08145967066323867,-19.417852210758973,-0.14556793613080649,1.0677137529763785,13,-26.784147,12.07882057876952,8.411576055602143
14,0.10193049817363585,1.3461799141139272,0.2196444951255983,1e-06,0.024303564712863695,-4.277530456462858,-0.23027930637223826,1.0508304605371683,14,-27.01874,28.06985409544539,9.534606587740113
15,0.14683439475668705,3.9582666783538487,0.26181265496165895,1e-06,-0.08025682668206177,-14.588773978522369,-0.06559210240722252,1.0907886127267616,15,-21.719532,5.377359563501873,10.580639662740106
16,0.08667040099309074,0.8558411536622219,0.20024282449205472,1e-06,-0.04896596689021656,-15.559242106346886,-0.15575868869422482,1.0939391851737212,16,-29.730314,17.1755472525184,5.59293005578253
17,0.11850560232542515,2.29259509650305,0.22235121270585695,1e-06,-0.01231356448465425,3.0937260739809265,-0.1783425443679792,1.1027426240592249,17,-22.813566,12.812484659626499,6.74733779793221
18,0.10042737779187853,2.3935124999127284,0.18198393966324844,1e-06,0.0051306129003944245,3.946397283992364,-0.05908088396883871,1.0612932006068085,18,-16.213123,7.246878921111812,15.507192475371683
19,0.10371222430772599,1.94116888078601,0.230024466581778,1e-06,0.07961736357441401,-16.081388000838814,-0.043202195713975176,1.0521441106616782,19,-31.32527,13.365056136648839,9.909287977870902
20,0.10116057179092276,2.2233288639142414,0.19034150538337666,1e-06,-0.06806968885864328,3.341003011722249,-0.14090907903496286,1.0124516653778304,20,-25.278193,21.64220177879581,16.527874668213283
21,0.10227087992250006,1.4285845428546418,0.2084274233785216,1e-06,0.0141919223871704,-15.253053322319612,-0.10942909167213292,1.172805056041514,21,-30.328964,9.50668573081614,9.139987868285516
22,0.07696691969426483,1.7026925175731726,0.07844059523887843,1e-06,-0.04558175893594727,-19.865394521909753,-0.18528228152673779,1.0290932339043835,22,-37.870003,21.957969110827484,22.58103487285677
23,0.10557987260204837,2.0497951858446704,0.22404151998328217,1e-06,-0.08410978034581086,-12.65433403514149,-0.188384809856036,1.024275131521847,23,-23.193047,7.840118499818036,7.8094617056060605
24,0.11031288145295395,1.6094986940480558,0.2329169667305574,1e-06,0.043460331933410715,-9.918553691354495,-0.1893062953822121,1.0948008088526284,24,-28.33195,21.434955588195468,18.831441831677882
25,0.12388733696777597,2.828066049331503,0.21500664502802488,1e-06,-0.017062002134362566,-22.63778034528943,-0.12213662464495352,1.1484259263887018,25,-32.186245,12.084087169351864,8.583664498999035
26,0.13659727580021727,2.087208454264241,0.2640121327177647,1e-06,0.03145488022488209,-15.427346968975534,-0.17961411124574436,1.1104938977472159,26,-22.175262,12.994434326816446,3.5867809285121273
27,0.11198652321936992,2.323812538008182,0.238115317413861,1e-06,0.02390081208462328,-8.178185196937548,-0.0805704070118139,1.1095791137143631,27,-21.665836,5.8130945730602495,9.90899399973511
28,0.11120173660898008,1.9766013273188656,0.2447551389199349,1e-06,-0.035729167986625496,-12.328995804505352,-0.02393835933263051,1.1989259242239434,28,-25.656046,31.869977202322076,5.247703057002619
29,0.07974136356984741,0.9696266431809218,0.20027534744398517,1e-06,-0.008518494194641563,7.760139893150157,-0.11027668324385058,1.0389563876507828,29,-26.976503,16.39553281133263,41.45739708779197
30,0.1448099905952315,2.9620824937774013,0.21464293670088014,1e-06,0.03194322235585403,-28.608258921578567,-0.15833819067135618,0.9800033443933867,30,-28.991657,18.174512175452175,8.656983714549702
31,0.12769544099553015,2.6217296898376965,0.23181006607108512,1e-06,0.04564045910035962,-11.13491856546801,-0.030801749995415982,1.058806806098781,31,-21.199543,16.59858807215722,11.77770460522641
32,0.12229372341151601,1.8513483037870726,0.22880965787516772,1e-06,0.0953520222147875,-22.35445722058373,-0.10815687352766411,1.2097633539383936,32,-27.932741,8.14745064467893,4.062724136562028
33,0.10554803205805573,2.024346414637141,0.2022659973417852,1e-06,0.09659877122840378,-3.7635122341202605,-0.14179546178308433,1.095011621793883,33,-28.65694,12.283041017363352,14.099444731667994
